,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
0,17690,Renault,Megane,Diesel,10003,Manuelle,6.0,2019.0
1,19480,Renault,Captur,Essence,10003,Manuelle,5.0,2021.0
2,24490,Renault,Megane,Diesel,10006,Manuelle,6.0,2021.0
3,27979,Citroen,C4,Diesel,10006,Automatique,7.0,2021.0
4,33990,Volkswagen,Tiguan,Essence,10007,Automatique,8.0,2020.0
5,27800,Peugeot,308,Essence,10008,Automatique,7.0,2021.0
6,14990,Opel,Corsa,Essence,10010,Manuelle,4.0,2021.0
7,16800,Opel,Corsa,Essence,10015,Manuelle,5.0,2021.0
8,22790,Renault,Megane,Diesel,10016,Manuelle,6.0,2021.0
9,17890,Citroen,C3,Diesel,10018,Manuelle,5.0,2021.0
10,24690,Renault,Scenic,Diesel,10020,Manuelle,6.0,2021.0
11,12290,Renault,Twingo,Essence,10024,Manuelle,4.0,2020.0
12,23500,Citroen,C4,Essence,10029,Manuelle,7.0,2021.0
13,32900,Peugeot,2008,Electrique,10032,Automatique,4.0,2021.0
14,21179,Volkswagen,Polo,Essence,10032,Manuelle,6.0,2021.0
15,21189,Volkswagen,Polo,Essence,10032,Manuelle,6.0,2021.0
16,11490,Renault,Twingo,Essence,10035,Manuelle,4.0,2021.0
17,16800,Opel,Corsa,Essence,10039,Manuelle,5.0,2021.0
18,17990,Ford,Fiesta,Essence,10040,Automatique,6.0,2020.0
19,42990,Volkswagen,Golf,Essence,10041,Automatique,14.0,2021.0
20,35490,Peugeot,508,Diesel,10042,Automatique,7.0,2021.0
21,17490,Ford,Fiesta,Essence,10045,Manuelle,5.0,2021.0
22,11490,Renault,Twingo,Essence,10046,Manuelle,5.0,2020.0
23,24990,Peugeot,208,Electrique,10050,Automatique,4.0,2021.0
24,17777,Citroen,C3,Diesel,10055,Manuelle,5.0,2021.0
25,26484,Citroen,C5,Diesel,10059,Manuelle,7.0,2021.0
26,38690,Mercedes,Classe A,Essence,10061,Automatique,8.0,2021.0
27,13390,Renault,Twingo,Essence,10064,Manuelle,5.0,2019.0
28,17985,Volkswagen,Polo,Essence,10066,Manuelle,5.0,2021.0
29,21290,Ford,Fiesta,Hybride,10067,Manuelle,6.0,2020.0
30,18860,Renault,Clio,Essence,10070,Manuelle,5.0,2021.0
31,51870,Volkswagen,Golf,Essence,10074,Automatique,19.0,2020.0
32,12280,Renault,Twingo,Essence,10076,Manuelle,5.0,2021.0
33,19990,Citroen,C3,Diesel,10080,Manuelle,5.0,2021.0
34,11990,Renault,Twingo,Essence,10087,Manuelle,4.0,2021.0
35,35490,Volkswagen,Tiguan,Diesel,10089,Automatique,8.0,2021.0
36,52990,Mercedes,Classe C,Essence,10099,Automatique,10.0,2021.0
37,5990,Peugeot,207,Essence,10100,Manuelle,6.0,2008.0
38,27650,Renault,Kadjar,Diesel,10100,Automatique,6.0,2021.0
39,16190,Renault,Clio,Diesel,10102,Manuelle,4.0,2020.0
40,23890,Citroen,C4,Diesel,10105,Manuelle,6.0,2021.0
41,18990,Renault,Captur,Essence,10106,Manuelle,5.0,2020.0
42,19990,Renault,Clio,Hybride,10107,Automatique,5.0,2021.0
43,16490,Renault,Megane,Diesel,10112,Manuelle,5.0,2020.0
44,22790,Mini,Mini,Essence,10113,Automatique,5.0,2019.0
45,28990,Audi,A3,Diesel,10119,Manuelle,6.0,2021.0
46,18490,Opel,Corsa,Essence,10120,Manuelle,5.0,2020.0
47,35970,Peugeot,508,Diesel,10120,Automatique,7.0,2021.0
48,32900,Peugeot,3008,Essence,10123,Automatique,6.0,2020.0
49,18490,Renault,Captur,Essence,10124,Manuelle,5.0,2021.0
50,14390,Opel,Corsa,Essence,10128,Manuelle,4.0,2020.0
51,17590,Citroen,C3,Essence,10129,Manuelle,4.0,2021.0
52,20890,Dacia,Duster,Diesel,10132,Manuelle,6.0,2021.0
53,19990,Renault,Clio,Hybride,10133,Automatique,5.0,2021.0
54,14999,Citroen,C3,Essence,10136,Manuelle,4.0,2021.0
55,12990,Renault,Twingo,Essence,10146,Manuelle,5.0,2020.0
56,37300,Peugeot,508,Hybride,10147,Automatique,10.0,2021.0
57,31500,Mercedes,Classe A,Essence,10150,Automatique,8.0,2019.0
58,18490,Renault,Clio,Diesel,10150,Manuelle,5.0,2021.0
59,43890,Peugeot,3008,Hybride,10154,Automatique,10.0,2021.0
60,24690,Renault,Captur,Diesel,10158,Automatique,6.0,2020.0
61,42990,Audi,A3,Hybride,10159,Automatique,8.0,2021.0
62,14990,Renault,Clio,Diesel,10162,Manuelle,4.0,2019.0
63,40900,Volkswagen,Golf,Essence,10162,Manuelle,14.0,2021.0
64,22490,Renault,Megane,Diesel,10162,Manuelle,6.0,2021.0
65,20990,Renault,Megane,Diesel,10162,Automatique,6.0,2021.0
66,15990,Peugeot,208,Essence,10164,Manuelle,4.0,2021.0
67,16779,Citroen,C3,Essence,10166,Manuelle,4.0,2020.0
68,33490,Nissan,Qashqai,Essence,10170,Manuelle,7.0,2021.0
69,17899,Citroen,C3,Essence,10179,Manuelle,6.0,2021.0
70,28490,Citroen,C4,Diesel,10181,Automatique,7.0,2021.0
71,15289,Citroen,C3,Essence,10183,Manuelle,4.0,2021.0
72,14490,Citroen,C3,Essence,10184,Manuelle,4.0,2020.0
73,15200,Renault,Clio,Diesel,10185,Manuelle,4.0,2020.0
74,14490,Renault,Clio,Essence,10191,Manuelle,4.0,2021.0
75,11450,Renault,Twingo,Essence,10197,Manuelle,4.0,2021.0
76,11400,Fiat,500,Essence,10200,Manuelle,4.0,2018.0
77,15990,Renault,Clio,Essence,10200,Manuelle,5.0,2020.0
78,18600,Dacia,Duster,Diesel,10200,Manuelle,6.0,2021.0
79,29500,Renault,Captur,Hybride,10200,Automatique,5.0,2021.0
80,43600,Peugeot,308,Hybride,10200,Automatique,10.0,2021.0
81,24990,Peugeot,308,Diesel,10204,Manuelle,7.0,2021.0
82,24490,Citroen,C4,Essence,10205,Automatique,7.0,2021.0
83,18490,Renault,Clio,Essence,10214,Automatique,7.0,2019.0
84,11390,Renault,Twingo,Essence,10216,Manuelle,4.0,2021.0
85,28694,Renault,Megane,Hybride,10218,Automatique,5.0,2020.0
